,0
0,7608756
1,9924312
2,7911122
3,5071212
4,6307248
5,8949902
6,7650639
7,7339046
8,7129004
9,9198856
10,6565666
11,9638487
12,8001093
13,6249205
14,6647325
15,5874829
16,8074712
17,6875729
18,6248012
19,9022774
20,5431768
21,6617584
22,7808887
23,9725279
24,5528601
25,7869853
26,8872293
27,6383477
28,8845469
29,7967074
30,9045320
31,7847730
32,8327980
33,5866348
34,9772668
35,7146323
36,7194652
37,6860054
38,8194486
39,8503377
40,6571738
41,6387838
42,6715478
43,9654654
44,5103215
45,7087931
46,9194575
47,7865632
48,7672477
49,5175213
50,8342180
51,5306995
52,5128993
53,9306523
54,6739623
55,8250243
56,5337782
57,9726947
58,6443797
59,6760119
60,8813815
61,7855144
62,9387242
63,9357801
64,9059134
65,9274307
66,9309927
67,9040330
68,9269156
69,6541094
70,9396601
71,8010960
72,9232503
73,8064637
74,6383053
75,5546166
76,8272001
77,6160993
78,7684382
79,8691527
80,7920656
81,5918301
82,8927404
83,7283177
84,7995886
85,9498260
86,6152357
87,8934395
88,8203051
89,8008257
90,5293515
91,5225438
92,8211183
93,6898110
94,8519817
95,7298560
96,8079932
97,6663333
98,9627435
99,7495750
100,5003365
101,7551883
102,9571413
103,5997912
104,6963689
105,5484927
106,6414594
107,8864621
108,7984539
109,9619078
110,6488355
111,7322335
112,9873028
113,9139607
114,8465892
115,6999542
116,8651211
117,9594044
118,7621734
119,6032404
120,9782061
121,9902088
122,8491480
123,7331907
124,7050697
125,6543099
126,8123491
127,6013204
128,9488324
129,9450030
130,6420381
131,9461640
132,9526527
133,7266897
134,5692492
135,7254942
136,7980827
137,5030494
138,6916885
139,5634622
140,6421871
141,9167135
142,6571779
143,9253942
144,7323987
145,8284672
146,8280286
147,9817755
148,9938441
149,5201723
150,6335999
151,7874445
152,8279537
153,6163522
154,9528233
155,6280152
156,9687460
157,7925304
158,7585550
159,9469485
160,7881426
161,6497971
162,8535887
163,7837218
164,9470833
165,9871901
166,8651029
167,6608024
168,5755091
169,5715008
170,7859601
171,7580059
172,9240193
173,5623946
174,8835384
175,8071530
176,9960405
177,7116712
178,7147060
179,5084119
180,9184895
181,8647829
182,8976567
183,5946032
184,9145674
185,5187510
186,6692275
187,9389636
188,5328274
189,8559550
190,6136167
191,8368945
192,5436508
193,9427841
194,5638328
195,6503195
196,7203821
197,8841994
198,6840917
199,6983548
200,5578978
201,6746389
202,7244309
203,5641360
204,5718031
205,9351691
206,6516160
207,9814597
208,9058370
209,7878965
210,9137429
211,8309812
212,5168639
213,5652374
214,5064656
215,9467781
216,6180034
217,7756985
218,7456401
219,8402205
220,6868745
221,7053971
222,7126977
223,7234667
224,5956676
225,6972985
226,6710313
227,7177490
228,8344220
229,7977671
230,7302659
231,5228744
232,5998334
233,9171394
234,6905581
235,5656285
236,9557310
237,6238849
238,9654157
239,8576767
240,6537126
241,5375404
242,7162104
243,6998434
244,6821960
245,5482882
246,9916049
247,6849050
248,5257099
249,5921783
250,6703512
251,8763380
252,5811721
253,7600570
254,6925106
255,5759315
256,8562954
257,8231118
258,9014251
259,6073032
260,8486883
261,7570491
262,8386771
263,5941150
264,9868569
265,5304970
266,7346868
267,5427826
268,8814545
269,8044225
270,8505575
271,8976006
272,5878234
273,8173677
274,7727843
275,6186458
276,7184260
277,7006014
278,7457343
279,8387752
280,9647726
281,6423343
282,8623765
283,8481912
284,5149527
285,9760157
286,9745435
287,9716820
288,7291473
289,7824543
290,9862563
291,7987408
292,9916359
293,7982732
294,6754541
295,6408479
296,6640891
297,7511816
298,7474308
299,8309387
300,5347890
301,5548346
302,6540198
303,5592844
304,5783596
305,7969864
306,5162140
307,9663528
308,5999727
309,5186529
310,7226869
311,7997340
312,8937317
313,9898704
314,5008472
315,9883562
316,5512103
317,7391247
318,9914170
319,9465058
320,7669073
321,8535694
322,5941042
323,6549776
324,5559731
325,5185525
326,7357823
327,8963103
328,9547031
329,5896221
330,6885363
331,8434072
332,5155462
333,6053862
334,7820738
335,9817530
336,9968701
337,6040629
338,7764484
339,8647486
340,8433494
341,5851766
342,9217177
343,8758884
344,6732523
345,9743229
346,9293661
347,7108790
348,9518961
349,7048272
350,6772210
351,5051410
352,7698260
353,9436763
354,9163531
355,8646404
356,6890499
357,8298801
358,5991388
359,6177385
