,0
532,7834329
533,6122826
534,7475770
535,5739030
536,9920796
537,5545741
538,9248425
539,6802558
540,6922773
541,9951305
542,6416783
543,8738404
544,6616260
545,7122566
546,5030902
547,9953239
548,6793074
549,7959964
550,7602036
551,7530154
552,9908315
553,5402858
554,7198910
555,8110189
556,9556075
557,9385158
558,5566932
559,7479696
560,9781377
561,9579844
562,5742242
563,8257065
564,9982584
565,6825402
566,9129015
567,6801841
568,6140891
569,6818764
570,7591204
571,8342707
572,7693427
573,8109736
574,6895682
575,7413552
576,6989623
577,7200586
578,8905705
579,9031269
580,9889868
581,7347434
582,9614025
583,8814696
584,8227478
585,9835644
586,9820610
587,7715966
588,7135699
589,9737523
590,8233801
591,6810892
592,7410785
593,5354067
594,9497100
595,9310098
596,9302198
597,9901529
598,6232385
599,7738922
600,9043273
601,5384509
602,6722674
603,5123220
604,5116508
605,6944900
606,7271906
607,5132075
608,8810807
609,8085129
610,7051478
611,8359982
612,7590372
613,7729545
614,6120627
615,7561157
616,7089476
617,6238850
618,6110157
619,9170453
620,7316185
621,5658961
622,9328251
623,5813529
624,9575382
625,8113140
626,9545744
627,6410505
628,5139031
629,6298317
630,7901853
631,5950573
632,9776330
633,7572558
634,7043558
635,9874850
636,6003383
637,8533178
638,9575285
639,6408573
640,5452956
641,6314106
642,8585024
643,7278247
644,8973375
645,7821653
646,8585616
647,9084718
648,9260625
649,9869814
650,9226792
651,9403751
652,5960277
653,8861037
654,8252553
655,5222239
656,6127638
657,9734926
658,6903766
659,6369061
660,6968025
661,8772617
662,9634337
663,7654197
664,9918167
665,8409845
666,6699427
667,5296130
668,9109047
669,5061090
670,5313295
671,7168088
672,6775775
673,7572985
674,8550347
675,5165964
676,6594196
677,5318196
678,7118752
679,9951857
680,8479356
681,5396747
682,7617513
683,5542693
684,9399495
685,5155757
686,9313693
687,8621232
688,9610470
689,7267366
690,9052241
691,7024997
692,5288105
693,8100636
694,6964109
695,9225936
696,7954895
697,8373617
698,9952814
699,6454217
700,6676870
701,8003556
702,9439295
703,7742022
704,9158716
705,6522354
706,9988523
707,9038127
708,7464423
709,7889839
710,7971900
711,5274631
712,7967730
713,7625325
714,9402561
715,8544460
716,6529672
717,9988913
718,6062647
719,8050570
720,8645026
721,8892516
722,6290133
723,7192246
724,9042309
725,9645825
726,6269049
727,6897677
728,5616605
729,9631429
730,8181402
731,9231336
732,5439962
733,8136639
734,9334182
735,7342670
736,7503447
737,9129703
738,6578302
739,9638093
740,9273129
741,9994175
742,9795806
743,8331742
744,7231754
