,0
0,2204119
1,3765998
2,2384221
3,2378241
4,1285791
5,2558799
6,3520243
7,2269986
8,3957127
9,1622232
10,3124923
11,4320459
12,3864486
13,4961471
14,1527171
15,4538633
16,1189474
17,1595059
18,3637809
19,3835945
20,1742493
21,3461306
22,3656651
23,3298399
24,4689406
25,2654918
26,1892703
27,3986679
28,2899312
29,4451133
30,4995137
31,2702720
32,2355196
33,4579770
34,1721868
35,1709669
36,2369857
37,2857241
38,3395644
39,2945376
40,1097162
41,4831612
42,2746226
43,3784926
44,4572822
45,3311845
46,3213069
47,3630431
48,1755206
49,2841815
50,4929738
51,3151081
52,3243188
53,1102111
54,3005780
55,2124926
56,3238316
57,3334761
58,4693321
59,4879785
60,3883738
61,2333488
62,4810042
63,1751982
64,2566174
65,2084775
66,3014067
67,3418075
68,2841635
69,4467230
70,3799989
71,4586787
72,1593217
73,2540933
74,3226370
75,2962957
76,4309662
77,2872997
78,4725965
79,2962638
80,1088065
81,2421354
82,4366838
83,2240289
84,2682811
85,1379541
86,1986006
87,3085189
88,4031166
89,2869049
90,2784672
91,4302989
92,4847639
93,3887412
94,3156004
95,1658982
96,3658063
97,4498926
98,2095695
99,3352179
100,4162075
101,2994378
102,4736261
103,1465559
104,3378079
105,2755253
106,4392719
107,2794559
108,3315484
109,2172481
110,4373920
111,1573037
112,3733313
113,4669199
114,3506029
115,3122792
116,4099927
117,4140026
118,2800232
119,3594037
120,4237383
121,2954026
122,3734285
123,3860233
124,3328328
125,4754467
126,1716844
127,4979423
128,1483865
129,1881016
130,3082884
131,2782011
132,2594181
133,2024123
134,4863316
135,3876150
136,4292244
137,3319407
138,2634274
139,4564123
140,4501636
141,4995420
142,4268821
143,3902182
144,2704501
145,2983676
146,4074739
147,3406838
148,3969386
149,4745797
150,1609858
151,4421760
152,4225156
153,3155276
154,1004454
155,3756291
156,4541662
157,4823109
158,4870404
159,1247650
160,4054159
161,4856666
162,2964488
163,2863079
164,2520147
165,2871912
166,1763758
167,2750584
168,3112654
169,2800423
170,4448488
171,2866615
172,1516754
173,1492648
174,2775674
175,1648314
176,2208939
177,1596679
178,4283001
179,2248051
180,2008180
181,2529278
182,2908752
183,2383637
184,4055366
185,2936193
186,2671188
187,3771679
188,2999088
189,1600202
190,3718769
191,4032426
192,4150341
193,2980787
194,4066204
195,4251369
196,1188816
197,4042893
198,2237574
199,2169854
200,3931954
201,2912458
202,4978960
203,1651754
204,4749460
205,3973186
206,1019095
207,4326232
208,2266676
209,4032709
210,4723940
211,2939856
212,3949794
213,1440919
214,3486844
215,2802563
216,3356609
217,1570327
218,3142135
219,2641109
220,3874508
221,4564542
222,2898520
223,2441392
224,4605168
225,1460017
226,2122522
227,2099132
228,2803944
229,2395029
230,4497434
231,4004817
232,2173814
233,3992047
234,2994641
235,4448688
236,4705856
237,3536660
238,4872164
239,3819643
240,2152328
241,1397437
242,4222767
243,1285641
244,4034705
245,1678670
246,4128611
247,4402931
248,4474538
249,1145678
250,4050308
251,4514830
252,3858293
253,4555927
254,2701462
255,3365980
256,3851597
257,4207197
258,2469002
259,2937612
260,4410257
261,4956003
262,4063025
263,4987322
264,4070646
265,3699300
266,1650130
267,4106206
268,3145038
269,3862156
270,3902823
271,3743677
272,1146565
273,2379872
274,2315850
275,1593084
276,4351006
277,4841689
278,4206544
279,4049397
280,1500180
281,3390296
282,3731890
283,3179488
