,0
0,3184652
1,4184072
2,3422570
3,4717681
4,3501062
5,4020741
6,2596585
7,4254941
8,1160447
9,4639070
10,3110768
11,3657870
12,4020484
13,2554333
14,4479619
15,2704885
16,3295340
17,4133998
18,1327813
19,3542826
20,3210467
21,4726070
22,4043931
23,2752511
24,1764862
25,4142991
26,2066132
27,2901755
28,3099950
29,3477504
30,3619805
31,4917975
32,4203997
33,3426155
34,2663975
35,4153070
36,3634948
37,3273179
38,1175166
39,3194202
40,4548713
41,3700364
42,2656109
43,2945838
44,1653694
45,2782696
46,4743381
47,3991781
48,4463015
49,3345331
50,4565171
51,3150417
52,3963432
53,4668233
54,1673958
55,4162368
56,3606202
57,4331711
58,1089752
59,2818660
60,4825440
61,3786647
62,2333283
63,2489672
64,2314175
65,3710990
66,2578005
67,1419015
68,4616011
69,4767380
70,4714723
71,4257462
72,2965622
73,4608594
74,4075778
75,4001509
76,3284765
77,3715773
78,4811777
79,4224301
80,3679359
81,3531120
82,2797252
83,1865456
84,2963629
85,3913662
86,2552161
87,3737765
88,3063128
89,4985878
90,3405120
91,4957184
92,4226156
93,4836469
94,2581974
95,3613336
96,4258653
97,1510544
98,4174675
99,2950594
100,4289980
101,3370044
102,2595643
103,2191756
104,4855463
105,4893664
106,4142775
107,2536530
108,3512564
109,1652842
110,4014658
111,3707059
112,3057860
113,1555968
114,2066769
115,4055263
116,3657068
117,2736153
118,3580968
119,3269117
120,4493416
121,3120391
122,4601514
123,2352271
124,3221043
125,1347220
126,3017451
127,2940066
128,1897335
129,4833863
130,4273561
131,4563435
132,3740982
133,2777229
134,4902127
135,4847985
136,4675620
137,3479554
138,2032075
139,3809076
140,2437673
141,4638950
142,2539409
143,3762291
144,1360804
145,2424597
146,4632405
147,4776846
148,3440532
149,4329449
150,4705344
151,2873814
152,3089734
153,3894731
154,1826022
155,2168537
156,3990717
157,4947986
158,4770030
159,3411351
160,3362733
161,3680253
162,3470716
163,4232426
164,3515094
165,2982363
166,1078453
167,1961347
168,4449982
169,1449447
170,4944291
171,4826700
172,2377902
173,4184452
174,2221677
175,3443603
176,4390981
177,1944026
178,4371452
179,4411660
180,4297388
181,3769170
182,4748417
183,2417799
184,1337768
185,4375533
186,1070618
187,1935744
188,2025167
189,4373954
190,3683156
191,2236548
192,1635735
193,4858786
194,2227456
195,4015553
196,2720749
197,4858839
198,1518581
199,1794349
200,2893493
201,3985254
202,3623859
203,4315997
204,1164521
205,3757953
206,1436364
207,3700332
208,4771318
209,3629789
210,2225282
211,1435757
212,4335983
213,4386605
214,2239525
215,3542413
216,2177162
217,3947536
218,4165017
219,3531712
220,3869841
221,1593752
222,4865985
223,4546616
224,4565210
225,4132175
226,3519789
227,4024475
228,4218922
229,1459824
230,4566993
231,2646339
232,4891715
233,4372544
234,4882670
235,4472096
236,3167847
237,4345668
238,3766259
239,4113236
240,3551627
241,1715004
242,3163608
243,2208342
244,3111903
245,4971169
246,1080139
247,2156366
248,2646167
249,4389367
250,1225520
251,1767928
252,2781334
253,3249726
254,2788736
255,1385496
256,3230796
257,3423545
258,4323308
259,2693610
260,2047112
261,3456554
262,4103080
263,1005901
264,1519171
265,4764994
266,4392919
267,3402204
268,4818166
269,3774635
270,3684073
271,1398034
272,2204559
273,4645020
274,4751088
275,1593513
276,1835055
277,4978131
278,1666389
279,2240122
280,4820162
281,3015408
282,3547541
283,4042473
284,2570281
285,1622843
286,2055726
287,2615574
288,2417967
289,4136262
290,4634766
291,2117525
292,1876108
293,2182828
294,4785601
295,4258941
296,4529948
297,4911419
298,3655004
299,3743390
300,2508940
301,4148452
302,1632031
303,2614295
304,4750010
305,1556173
306,4243397
307,4758898
308,1094269
