,Unnamed: 0.1,user_id,num_revs,nationality,group,age
3145,4683,9976623,4,England,,not specified
3146,4684,9863997,1,USA,Male,31-40
3147,4686,6863364,1,Brazil,,not specified
3148,4687,9773796,1,USA,,not specified
3149,4688,7430848,2,Ireland,Male,41+
3150,4691,9819702,2,France,Couple,25-30
3151,4694,6505388,6,Netherlands,Male,31-40
3152,4696,9823806,2,USA,,not specified
3153,4698,7920004,1,Canada,,not specified
3154,4699,9738545,1,Australia,,not specified
3155,4700,7385645,1,Slovenia,Female,25-30
3156,4701,8094729,1,Norway,,not specified
3157,4702,5753323,12,Ireland,Couple,25-30
3158,4703,7763196,2,India,,not specified
3159,4704,9815578,1,France,,not specified
3160,4707,5675036,1,Denmark,,not specified
3161,4708,6699329,1,Spain,,not specified
3162,4710,8215180,1,Paraguay,,not specified
3163,4712,5063683,1,New Zealand,,not specified
3164,4713,5388768,1,Germany,Male,31-40
3165,4714,7947377,1,USA,Male,25-30
3166,4715,9993415,2,Ireland,Couple,25-30
3167,4718,9975083,4,Portugal,Couple,25-30
3168,4719,6788922,1,France,,not specified
3169,4720,7893617,1,Brazil,,not specified
3170,4722,9946493,7,France,,not specified
3171,4723,7918605,1,Brazil,Male,25-30
3172,4725,5727728,1,Ireland,,not specified
3173,4727,8208041,3,Canada,,not specified
3174,4728,6148013,3,Australia,,not specified
3175,4730,9919641,2,Thailand,,not specified
3176,4732,6692384,10,England,,not specified
3177,4733,5800505,3,France,Male,25-30
3178,4734,8504157,2,Australia,Female,31-40
3179,4736,8039899,2,Germany,Mixed Group,18-24
3180,4737,8610620,2,USA,,not specified
3181,4738,6029622,3,Germany,Couple,18-24
3182,4741,9654911,1,Spain,Male,18-24
3183,4742,9534290,1,China,,not specified
3184,4743,6253894,1,England,,not specified
3185,4745,6343473,3,France,,not specified
3186,4746,8829805,1,USA,Female,18-24
3187,4748,8291021,1,USA,,not specified
3188,4749,8708785,1,Germany,Mixed Group,18-24
3189,4750,7037493,1,Chile,Male,25-30
3190,4751,9927503,3,Germany,Male,31-40
3191,4752,6914025,1,France,,not specified
3192,4753,8124169,1,France,,not specified
3193,4754,5987237,1,USA,,not specified
3194,4757,8435683,3,USA,Male,18-24
3195,4758,8523812,2,Brazil,,not specified
3196,4759,5448863,1,Brazil,,not specified
3197,4760,9160777,2,USA,Male,25-30
3198,4761,6384150,3,Brazil,,not specified
3199,4763,8516487,2,Singapore,Female,18-24
3200,4764,6818101,1,Germany,,not specified
3201,4765,6125080,2,China,Female,31-40
3202,4766,9994693,4,Canada,,not specified
3203,4767,6687582,1,England,Female,18-24
3204,4768,7631050,3,England,Female,18-24
3205,4769,6182772,3,New Zealand,,not specified
3206,4770,9701802,1,Belgium,Female,18-24
3207,4771,7523941,5,Australia,Male,25-30
3208,4772,9318974,1,England,Mixed Group,31-40
3209,4773,9506288,3,England,Female,18-24
3210,4774,9129518,1,Italy,Male,18-24
3211,4775,7466355,6,France,Female,31-40
