,hostel,hostel_info,link
10,HI Austin,"[>8.5, Awards:4, USA, Austin, Free Breakfast, Free Parking, Free City Maps, Free WiFi, Free Internet Access , Common Room, Bicycle Parking, BBQ, Air Conditioning, Book Exchange, Card Phones, 24 Hour Reception, 24 Hour Security, Late check-out, Reception (limited hours), DVD's, Board Games, Credit Cards Accepted, No Curfew, Non Smoking, H_t7]",http://www.hostelworld.com/hosteldetails.php/HI-Austin/Austin/878
11,Sleep in Heaven,"[>8.5, Awards:2, Denmark, Copenhagen, Linen Included, Free City Maps, Free WiFi, Free Internet Access , Security Lockers, Key Card Access, Common Room, Bicycle Parking, Breakfast Not Included, Adaptors, Book Exchange, Hot Showers, Outdoor Terrace, Hair Dryers, Card Phones, Steam Room, Internet Access, Bicycle Hire, Towels for hire, Luggage Storage, 24 Hour Reception, Tours/Travel Desk, 24 Hour Security, Late check-out, Reception (limited hours), Bar, Cafe, Board Games, Games Room, Pool Table, Foosball, Age Restriction, Credit Cards Accepted, No Curfew, Non Smoking, Taxes Included, H_t7]",http://www.hostelworld.com/hosteldetails.php/Sleep-in-Heaven/Copenhagen/690
12,Frankfurt Hostel,"[7-8.5, Awards:0, Germany, Frankfurt, Free Breakfast, Linen Included, Free City Maps, Free WiFi, Free Internet Access , Security Lockers, Key Card Access, Common Room, Elevator, Book Exchange, Hot Showers, Self-Catering Facilities, Hair Dryers For Hire, Washing Machine, Internet Access, Laundry Facilities, Towels for hire, Luggage Storage, 24 Hour Reception, Bar, Meals Available, Vending Machines, Cafe, Tea & Coffee Making Facilities, Credit Cards Accepted, No Curfew, H_t5]",http://www.hostelworld.com/hosteldetails.php/Frankfurt-Hostel/Frankfurt/485
13,Living Mad Hostel,"[>8.5, Awards:0, Spain, Madrid, Free Breakfast, Linen Included, Free WiFi, Free Internet Access , Wheelchair Friendly, Security Lockers, Key Card Access, Common Room, Elevator, Air Conditioning, Cable TV, Outdoor Terrace, Card Phones, Steam Room, Towels for hire, Luggage Storage, 24 Hour Reception, Tours/Travel Desk, Late check-out, Reception (limited hours), Age Restriction, Credit Cards Accepted, No Curfew, Taxes Included, H_t2]",http://www.hostelworld.com/hosteldetails.php/Living-Mad-Hostel/Madrid/13326
14,Youth Hostel Anna,"[7-8.5, Awards:0, Greece, Santorini, Linen Included, Free Parking, Free WiFi, Free Internet Access , Security Lockers, Swimming Pool, Bicycle Parking, Breakfast Not Included, Air Conditioning, Book Exchange, Hot Showers, Fridge/Freezer, Parking, Hair Dryers, Internet Access, Towels for hire, Luggage Storage, Tours/Travel Desk, Shuttle Bus, Reception (limited hours), Restaurant, Bar, Wi-Fi, , H_t4]",http://www.hostelworld.com/hosteldetails.php/Youth-Hostel-Anna/Santorini/1189
15,YHA Bath,"[7-8.5, Awards:0, England, Bath, Linen Included, Free WiFi , Security Lockers, Common Room, Bicycle Parking, Breakfast Not Included, Hot Showers, Outdoor Terrace, Reading Light, Parking, Card Phones, Steam Room, Internet Access, Laundry Facilities, Towels for hire, Luggage Storage, Fax Service, Postal Service, 24 Hour Security, Late check-out, Reception (limited hours), Restaurant, Bar, Meals Available, Cafe, Child Friendly, Credit Cards Accepted, Non Smoking, Taxes Included, H_t2]",http://www.hostelworld.com/hosteldetails.php/YHA-Bath/Bath/6969
16,Budget Backpackers,"[>8.5, Awards:2, Scotland, Edinburgh, Linen Included, Free City Maps, Free WiFi, Free Internet Access, Free City Tour , Security Lockers, Key Card Access, Common Room, Adaptors, Hot Showers, Self-Catering Facilities, Dishwasher, Cooker, Fridge/Freezer, Utensils, Dryer, Reading Light, Hair Dryers, Iron / Ironing Board, Microwave, Card Phones, Washing Machine, Internet Access, Laundry Facilities, Towels for hire, Luggage Storage, Fax Service, 24 Hour Reception, Tours/Travel Desk, ATM, 24 Hour Security, Housekeeping, Late check-out, Reception (limited hours), Restaurant, Bar, Meals Available, Vending Machines, Mini-Supermarket, Cafe, Tea & Coffee Making Facilities, PlayStation, Wii, DVD's, Board Games, Games Room, Pool Table, Wi-Fi, Age Restriction, Credit Cards Accepted, No Curfew, H_t4]",http://www.hostelworld.com/hosteldetails.php/Budget-Backpackers/Edinburgh/1759
17,Aviemore Youth Hostel,"[>8.5, Awards:0, Scotland, Aviemore, Linen Included, Free Parking, Free WiFi, Free Internet Access , Wheelchair Friendly, Common Room, Breakfast Not Included, Hot Showers, Washing Machine, Steam Room, Internet Access, Laundry Facilities, Towels for hire, Luggage Storage, Pool Table, Child Friendly, Credit Cards Accepted, Curfew, Non Smoking, H_t1]",http://www.hostelworld.com/hosteldetails.php/Aviemore-Youth-Hostel/Aviemore/12902
18,Bong House,"[7-8.5, Awards:0, South Korea, Seoul, Free Breakfast, Linen Included, Free City Maps, Towels Included, Free WiFi, Free Internet Access , Security Lockers, Common Room, Air Conditioning, Adaptors, Hot Showers, Self-Catering Facilities, Hair Dryers, Safe Deposit Box, Washing Machine, Internet Access, Laundry Facilities, Luggage Storage, 24 Hour Reception, Tours/Travel Desk, 24 Hour Security, Bar, Vending Machines, Tea & Coffee Making Facilities, Wii, Pool Table, Child Friendly, Credit Cards Not Accepted, No Curfew, Non Smoking, H_t3]",http://www.hostelworld.com/hosteldetails.php/Bong-House/Seoul/27327
19,Hatters at Hilton Chambers,"[7-8.5, Awards:1, England, Manchester, Free Breakfast, Linen Included, Free City Maps, Free WiFi , Security Lockers, Key Card Access, Common Room, BBQ, Adaptors, Hot Showers, Self-Catering Facilities, Cable TV, Outdoor Terrace, Reading Light, Hair Dryers For Hire, Safe Deposit Box, Steam Room, Internet Access, Laundry Facilities, Towels for hire, Luggage Storage, Fax Service, 24 Hour Reception, Tours/Travel Desk, 24 Hour Security, Housekeeping, Vending Machines, Tea & Coffee Making Facilities, PlayStation, DVD's, Board Games, Games Room, Pool Table, Age Restriction, Credit Cards Accepted, No Curfew, Taxes Included, H_t1]",http://www.hostelworld.com/hosteldetails.php/Hatters-at-Hilton-Chambers/Manchester/14065
